TEMP,SALT,d5,d10,d30,d50,d100,d150,d200,d300,d500,d700,d900,d1000,d1200
23.666,34.956,23.663,23.66,23.632,24.349,23.403,21.442,19.416,15.804,11.072,8.407,6.004,5.27,4.437
23.537,34.994,23.525,23.514,23.462,23.612,23.233,21.592,19.58,15.919,11.079,8.432,6.004,5.305,4.465
24.038,35.014,24.02,24,23.896,23.753,23.296,21.745,19.71,16.089,11.144,8.453,6.022,5.279,4.469
25.172,35.024,25.138,25.104,24.822,24.355,23.265,21.717,19.914,16.248,11.205,8.482,5.998,5.256,4.459
27.419,35.038,27.382,27.345,27.108,25.902,23.016,21.414,19.65,16.053,11.135,8.403,5.987,5.285,4.453
27.843,34.966,27.798,27.755,27.481,23.725,22.857,21.059,19.421,15.907,11.038,8.367,5.959,5.26,4.411
27.91,34.92,27.874,27.845,27.639,26.35,22.756,20.833,19.103,15.582,10.873,8.24,5.917,5.227,4.41
27.398,34.899,27.394,27.389,27.358,26.669,22.691,20.6,18.872,15.307,10.845,8.177,5.876,5.198,4.423
26.543,34.873,26.536,26.53,26.538,26.851,23.01,20.688,18.908,15.282,10.8,8.194,5.88,5.197,4.401
25.314,34.895,25.313,25.312,25.327,26.442,23.328,20.757,18.939,15.378,10.834,8.197,5.914,5.229,4.438
24.34,34.892,24.34,24.339,24.314,25.371,23.585,21.041,19.168,15.638,10.95,8.274,5.938,5.23,4.44
23.64,34.947,23.637,23.633,23.604,24.331,23.391,21.465,19.458,15.851,11.053,8.374,5.959,5.25,4.44
23.507,34.989,23.494,23.483,23.429,23.58,23.217,21.578,19.598,15.959,11.051,8.397,5.959,5.286,4.465
24,35.008,23.983,23.964,23.869,23.362,23.265,21.725,19.724,16.109,11.115,8.423,5.985,5.27,4.481
25.127,35.021,25.091,25.056,24.778,24.306,23.204,21.664,19.884,16.24,11.175,8.464,5.98,5.251,4.465
27.346,35.032,27.308,27.27,27.037,25.829,22.922,21.35,19.608,16.008,11.078,8.357,5.953,5.274,4.457
27.795,34.957,27.751,27.71,27.439,26.332,22.787,21,19.382,15.874,10.999,8.324,5.941,5.253,4.417
27.86,34.915,27.824,27.794,27.604,23.333,22.69,20.776,19.059,15.546,10.834,8.2,5.889,5.212,4.415
27.374,34.884,27.371,27.366,27.336,26.648,22.614,20.561,18.858,15.269,10.783,8.123,5.843,5.186,4.429
26.533,34.858,26.526,26.52,26.531,26.847,22.991,20.658,18.894,15.269,10.76,8.154,5.847,5.184,4.407
25.305,34.881,25.304,25.302,25.318,26.444,23.358,20.786,18.976,15.399,10.813,8.167,5.892,5.22,4.449
24.313,34.883,24.313,24.312,24.288,25.362,23.581,21.087,19.237,15.711,10.932,8.251,5.91,5.222,4.445
23.616,34.939,23.613,23.609,23.577,24.304,23.382,21.492,19.504,15.905,11.031,8.337,5.909,5.229,4.441
23.475,34.984,23.462,23.45,23.396,23.55,23.196,21.568,19.628,16.014,11.023,8.358,5.912,5.263,4.462
23.964,35.002,23.947,23.929,23.84,23.692,23.222,21.697,19.737,16.126,11.083,8.388,5.944,5.259,4.488
25.089,35.018,25.051,25.015,24.743,24.265,23.139,21.615,19.855,16.229,11.144,8.441,5.962,5.245,4.468
27.28,35.026,27.24,27.202,26.971,25.767,22.835,21.287,19.561,15.95,11.014,8.308,5.92,5.257,4.455
27.744,34.948,27.703,27.664,27.401,26.327,22.725,20.941,19.332,15.82,10.952,8.272,5.92,5.241,4.42
27.81,34.91,27.775,27.745,27.573,23.301,22.638,20.727,19.019,15.506,10.793,8.159,5.862,5.195,4.416
27.352,34.869,27.348,27.345,27.314,24.233,22.553,20.527,18.84,15.226,10.727,8.078,5.814,5.169,4.427
26.525,34.844,26.518,26.511,26.525,26.641,22.982,20.631,18.881,15.257,10.728,8.121,5.816,5.166,4.407
25.289,34.871,25.287,25.284,25.301,26.843,23.392,20.814,19.011,15.422,10.795,8.145,5.868,5.204,4.451
24.28,34.877,24.28,24.278,24.256,26.442,23.576,21.121,19.292,15.767,10.906,8.226,5.876,5.21,4.443
23.597,34.931,23.594,23.59,23.555,25.348,23.374,21.52,19.551,15.957,11.006,8.296,5.857,5.206,4.438
23.44,34.978,23.427,23.415,23.36,24.271,23.169,21.558,19.661,16.066,10.992,8.316,5.868,5.238,4.456
23.931,34.996,23.914,23.896,23.811,23.524,23.17,21.659,19.744,16.138,11.049,8.353,5.903,5.246,4.489
25.056,35.013,25.015,24.978,24.714,23.657,23.074,21.569,19.828,16.217,11.112,8.414,5.943,5.235,4.465
27.216,35.02,27.175,27.137,26.908,25.716,22.753,21.218,19.509,15.88,10.948,8.256,5.887,5.236,4.447
27.692,34.942,27.655,27.618,27.366,23.499,22.665,20.882,19.274,15.749,10.899,8.216,5.891,5.223,4.417
27.761,34.907,27.729,27.699,27.547,26.326,22.601,20.687,18.983,15.461,10.75,8.121,5.835,5.173,4.41
27.332,34.855,27.329,27.326,27.293,26.652,22.514,20.5,18.82,15.186,10.681,8.041,5.787,5.149,4.418
26.514,34.829,26.507,26.5,26.514,26.838,22.988,20.621,18.882,15.26,10.707,8.097,5.785,5.142,4.399
25.27,34.863,25.266,25.263,25.28,25.333,23.431,20.842,19.045,15.446,10.779,8.126,5.839,5.181,4.443
24.25,34.873,24.25,24.248,24.227,26.438,23.578,21.148,19.335,15.8,10.872,8.198,5.838,5.19,4.433
23.578,34.924,23.575,23.571,23.533,24.241,23.358,21.535,19.585,15.993,10.975,8.251,5.809,5.179,4.429
23.405,34.972,23.392,23.38,23.325,23.269,23.141,21.541,19.685,16.096,10.96,8.272,5.83,5.208,4.444
23.905,34.99,23.888,23.87,23.787,23.627,23.115,21.617,19.74,16.142,11.013,8.318,5.864,5.227,4.483
25.025,35.009,24.983,24.944,24.688,24.207,23.008,21.523,19.801,16.197,11.075,8.38,5.92,5.218,4.457
27.151,35.014,27.109,27.07,26.843,25.662,22.674,21.149,19.456,15.808,10.889,8.208,5.852,5.207,4.43
27.641,34.936,27.606,27.573,27.333,24.188,22.603,20.823,19.21,15.667,10.844,8.163,5.857,5.198,4.407
27.711,34.905,27.681,27.654,27.523,26.326,22.572,20.65,18.952,15.415,10.709,8.089,5.809,5.147,4.398
27.315,34.84,27.312,27.309,27.276,23.238,22.495,20.483,18.809,15.16,10.649,8.01,5.763,5.126,4.404
26.499,34.816,26.492,26.485,26.5,26.669,23.006,20.629,18.904,15.282,10.693,8.077,5.752,5.113,4.386
25.25,34.856,25.246,25.241,25.258,26.838,23.463,20.868,19.077,15.472,10.766,8.104,5.804,5.151,4.427
24.225,34.87,24.224,24.222,24.203,26.432,23.588,21.168,19.363,15.81,10.83,8.162,5.799,5.164,4.417
23.555,34.917,23.553,23.549,23.508,25.319,23.336,21.535,19.603,16.011,10.941,8.206,5.766,5.149,4.414
23.371,34.966,23.359,23.348,23.293,24.217,23.109,21.513,19.694,16.11,10.927,8.23,5.796,5.176,4.427
23.881,34.984,23.864,23.847,23.765,23.472,23.057,21.576,19.726,16.143,10.978,8.283,5.828,5.201,4.469
24.994,35.004,24.953,24.915,24.667,23.6,22.939,21.475,19.777,16.174,11.035,8.338,5.892,5.196,4.444
27.082,35.009,27.041,27.001,26.774,25.601,22.603,21.088,19.416,15.749,10.838,8.162,5.813,5.172,4.41
27.589,34.933,27.557,27.527,27.3,23.207,22.541,20.774,19.155,15.591,10.791,8.114,5.817,5.167,4.392
27.66,34.903,27.633,27.608,27.492,25.065,22.549,20.621,18.927,15.372,10.672,8.063,5.781,5.119,4.38
27.299,34.822,27.297,27.295,27.263,26.325,22.499,20.485,18.815,15.161,10.63,7.985,5.741,5.101,4.385
26.477,34.804,26.47,26.463,26.477,26.682,23.029,20.656,18.945,15.322,10.684,8.055,5.717,5.083,4.368
25.232,34.85,25.227,25.222,25.238,26.845,23.489,20.889,19.108,15.499,10.75,8.074,5.766,5.121,4.407
24.202,34.866,24.201,24.2,24.183,26.422,23.603,21.188,19.386,15.815,10.791,8.127,5.76,5.133,4.398
23.531,34.912,23.529,23.524,23.481,25.309,23.312,21.527,19.613,16.024,10.909,8.164,5.727,5.116,4.396
23.338,34.96,23.328,23.318,23.264,24.197,23.072,21.479,19.694,16.111,10.894,8.192,5.766,5.143,4.408
